Fecha,Comprobante,Depósito,Retiro,Saldo
9/5/2019,,10,,48.19
7/9/2019,,100,,148.19
13/1/2020,,115,,263.19
13/1/2020,,160,,423.19
13/1/2020,,5,,428.19
9/9/2020,,380,,808.19
7/11/2020,,480,,"1,288.19"
7/12/2020,,990,,"2,278.19"
7/12/2020,2020-38297,10,,"2,288.19"
8/12/2020,2020-38302,140,,"2,428.19"
18/12/2020,2020-40372,600,,"3,028.19"
23/01/2021,2021-3743,110,,"3,138.19"
23/01/2021,2021-3743,10,,"3,148.19"
11/1/2022,2022-2153,110,,"3,258.19"
11/1/2022,2022-2153,10,,"3,268.19"
18/02/2022,2022-8689,100,,"3,368.19"
25/02/2022,2022-9831,50,,"3,418.19"
24/03/2022,2022-14766,150,,"3,568.19"
9/1/2023,2023-1963,110,,"3,678.19"
9/1/2023,2023-1963,10,,"3,688.19"
11/03/2023,2023-15921,3,,"3,691.19"
11/03/2023,2023-15967,3.72,,"3,694.91"
05/12/2023,2023-62280,20,,"3,714.91"
12/01/2024,2024-2334,110,,"3,824.91"
12/01/2024,2024-2334,10,,"3,834.91"
10/12/2024,2024-60938,20,,"3,854.91"